fips_code,county,state,customers_out,run_start_time
51107,Loudoun,Virginia,1.0,2025-01-05 05:30:00
51107,Loudoun,Virginia,1.0,2025-01-05 05:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 06:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 06:15:00
51107,Loudoun,Virginia,1.0,2025-01-05 10:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 11:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 11:15:00
51107,Loudoun,Virginia,1.0,2025-01-05 11:30:00
51107,Loudoun,Virginia,1.0,2025-01-05 11:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 12:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 12:15:00
51107,Loudoun,Virginia,2.0,2025-01-05 12:30:00
51107,Loudoun,Virginia,2.0,2025-01-05 12:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 13:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 13:15:00
51107,Loudoun,Virginia,1.0,2025-01-05 13:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 14:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 14:15:00
51107,Loudoun,Virginia,1.0,2025-01-05 14:30:00
51107,Loudoun,Virginia,13.0,2025-01-05 17:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 19:15:00
51107,Loudoun,Virginia,16.0,2025-01-05 21:15:00
51107,Loudoun,Virginia,8.0,2025-01-05 21:30:00
51107,Loudoun,Virginia,8.0,2025-01-05 21:45:00
51107,Loudoun,Virginia,8.0,2025-01-05 22:00:00
51107,Loudoun,Virginia,8.0,2025-01-05 22:15:00
51107,Loudoun,Virginia,8.0,2025-01-05 22:30:00
51107,Loudoun,Virginia,8.0,2025-01-05 22:45:00
51107,Loudoun,Virginia,8.0,2025-01-05 23:00:00
51107,Loudoun,Virginia,8.0,2025-01-05 23:15:00
51107,Loudoun,Virginia,8.0,2025-01-05 23:30:00
51107,Loudoun,Virginia,8.0,2025-01-05 23:45:00
51107,Loudoun,Virginia,8.0,2025-01-06 00:00:00
51107,Loudoun,Virginia,8.0,2025-01-06 00:15:00
51107,Loudoun,Virginia,8.0,2025-01-06 00:30:00
51107,Loudoun,Virginia,8.0,2025-01-06 00:45:00
51107,Loudoun,Virginia,8.0,2025-01-06 01:00:00
51107,Loudoun,Virginia,17.0,2025-01-06 01:15:00
51107,Loudoun,Virginia,17.0,2025-01-06 01:30:00
51107,Loudoun,Virginia,17.0,2025-01-06 01:45:00
51107,Loudoun,Virginia,17.0,2025-01-06 02:00:00
51107,Loudoun,Virginia,17.0,2025-01-06 02:15:00
51107,Loudoun,Virginia,17.0,2025-01-06 02:30:00
51107,Loudoun,Virginia,17.0,2025-01-06 02:45:00
51107,Loudoun,Virginia,17.0,2025-01-06 03:00:00
51107,Loudoun,Virginia,17.0,2025-01-06 03:15:00
51107,Loudoun,Virginia,17.0,2025-01-06 03:30:00
51107,Loudoun,Virginia,17.0,2025-01-06 03:45:00
51107,Loudoun,Virginia,17.0,2025-01-06 04:00:00
51107,Loudoun,Virginia,17.0,2025-01-06 04:15:00
51107,Loudoun,Virginia,17.0,2025-01-06 04:30:00
51107,Loudoun,Virginia,17.0,2025-01-06 04:45:00
51107,Loudoun,Virginia,17.0,2025-01-06 05:00:00
51107,Loudoun,Virginia,17.0,2025-01-06 05:15:00
51107,Loudoun,Virginia,17.0,2025-01-06 05:30:00
51107,Loudoun,Virginia,17.0,2025-01-06 05:45:00
51107,Loudoun,Virginia,9.0,2025-01-06 06:00:00
51107,Loudoun,Virginia,9.0,2025-01-06 06:15:00
51107,Loudoun,Virginia,1.0,2025-01-06 16:45:00
51107,Loudoun,Virginia,1.0,2025-01-06 17:00:00
51107,Loudoun,Virginia,2.0,2025-01-06 17:15:00
51107,Loudoun,Virginia,2.0,2025-01-06 17:30:00
51107,Loudoun,Virginia,3.0,2025-01-06 17:45:00
51107,Loudoun,Virginia,3.0,2025-01-06 18:00:00
51107,Loudoun,Virginia,3.0,2025-01-06 18:15:00
51107,Loudoun,Virginia,3.0,2025-01-06 18:30:00
51107,Loudoun,Virginia,10.0,2025-01-06 18:45:00
51107,Loudoun,Virginia,10.0,2025-01-06 19:00:00
51107,Loudoun,Virginia,16.0,2025-01-06 19:15:00
51107,Loudoun,Virginia,16.0,2025-01-06 19:30:00
51107,Loudoun,Virginia,16.0,2025-01-06 19:45:00
51107,Loudoun,Virginia,8.0,2025-01-06 20:00:00
51107,Loudoun,Virginia,1.0,2025-01-06 20:15:00
51107,Loudoun,Virginia,1.0,2025-01-06 20:30:00
51107,Loudoun,Virginia,1.0,2025-01-06 20:45:00
51107,Loudoun,Virginia,1.0,2025-01-06 21:00:00
51107,Loudoun,Virginia,12.0,2025-01-06 21:45:00
51107,Loudoun,Virginia,12.0,2025-01-06 22:00:00
51107,Loudoun,Virginia,12.0,2025-01-06 22:15:00
51107,Loudoun,Virginia,12.0,2025-01-06 22:30:00
51107,Loudoun,Virginia,12.0,2025-01-06 22:45:00
51107,Loudoun,Virginia,12.0,2025-01-06 23:00:00
51107,Loudoun,Virginia,12.0,2025-01-06 23:15:00
51107,Loudoun,Virginia,12.0,2025-01-06 23:30:00
51107,Loudoun,Virginia,12.0,2025-01-06 23:45:00
51107,Loudoun,Virginia,12.0,2025-01-07 00:00:00
51107,Loudoun,Virginia,12.0,2025-01-07 00:15:00
51107,Loudoun,Virginia,12.0,2025-01-07 00:30:00
51107,Loudoun,Virginia,12.0,2025-01-07 00:45:00
51107,Loudoun,Virginia,12.0,2025-01-07 01:00:00
51107,Loudoun,Virginia,2.0,2025-01-07 01:15:00
51107,Loudoun,Virginia,2.0,2025-01-07 01:30:00
51107,Loudoun,Virginia,2.0,2025-01-07 01:45:00
51107,Loudoun,Virginia,2.0,2025-01-07 02:00:00
51107,Loudoun,Virginia,2.0,2025-01-07 02:15:00
51107,Loudoun,Virginia,2.0,2025-01-07 02:30:00
51107,Loudoun,Virginia,2.0,2025-01-07 02:45:00
51107,Loudoun,Virginia,2.0,2025-01-07 03:00:00
51107,Loudoun,Virginia,2.0,2025-01-07 03:15:00
51107,Loudoun,Virginia,2.0,2025-01-07 03:30:00
51107,Loudoun,Virginia,2.0,2025-01-07 03:45:00
51107,Loudoun,Virginia,2.0,2025-01-07 04:00:00
